Phase Function (Ave): 
	WL(nm)-->
Angle(deg)	390	392.5	395	397.5	400	402.5	405	407.5	410	412.5	415	417.5	420	422.5	425	427.5	430	432.5	435	437.5	440	442.5	445	447.5	450	452.5	455	457.5	460	462.5	465	467.5	470	472.5	475	477.5	480	482.5	485	487.5	490	492.5	495	497.5	500	502.5	505	507.5	510	512.5	515	517.5	520	522.5	525	527.5	530	532.5	535	537.5	540	542.5	545	547.5	550	552.5	555	557.5	560	562.5	565	567.5	570	572.5	575	577.5	580	582.5	585	587.5	590	592.5	595	597.5	600	602.5	605	607.5	610	612.5	615	617.5	620	622.5	625	627.5	630	632.5	635	637.5	640	642.5	645	647.5	650	652.5	655	657.5	660	662.5	665	667.5	670	672.5	675	677.5	680	682.5	685	687.5	690	692.5	695	697.5	700	702.5	705	707.5	710	712.5	715	717.5	720	722.5	725	727.5	730	732.5	735	737.5	740	742.5	745	747.5	750	752.5	755	757.5	760	762.5	765	767.5	770	772.5	775	777.5	780	782.5	785	787.5	790	792.5	795	797.5	800	802.5	805	807.5	810	812.5	815	817.5	820	822.5	825	827.5	830	
0	608.054	600.127	592.742	585.831	578.203	570.769	564.891	558.102	550.609	544.22	537.835	531.483	525.204	518.973	512.967	507.55	501.347	494.844	490.255	484.352	479.105	473.735	468.749	463.583	458.308	453.249	448.54	444.043	439.038	434.152	429.761	425.114	420.706	416.279	412.039	408.086	403.482	399.665	395.479	391.854	387.47	383.056	381.528	376.098	370.947	369.872	365.215	362.844	358.944	354.922	351.561	348.027	344.805	341.679	338.582	335.33	332.249	329.13	326.218	323.186	320.326	317.289	314.384	311.591	308.686	306.118	303.41	300.683	298.146	295.487	292.84	290.488	288.017	285.475	282.752	280.593	278.668	276.259	273.636	271.207	269.113	266.927	264.845	262.523	260.285	258.554	255.912	253.725	252.25	249.741	248.008	246.065	244.325	242.212	240.212	238.596	236.688	234.692	233.144	231.345	229.766	227.663	225.924	224.399	222.519	220.934	219.303	217.716	215.904	214.664	213.031	211.236	210	208.15	206.565	205.717	203.61	202.209	200.985	199.63	197.897	196.718	195.151	193.867	192.553	191.204	189.768	188.659	187.428	185.798	184.659	183.425	182.142	181.098	179.841	178.311	177.61	176.037	175.21	173.969	172.705	171.536	170.49	169.24	168.037	167.309	166.466	165.086	163.761	162.865	161.694	161.062	159.894	158.745	158.167	156.742	155.848	154.865	153.903	152.85	151.906	151.116	150.031	149.275	148.25	147.343	146.282	145.571	144.715	143.714	142.905	142.117	141.291	140.631	139.661	138.873	137.886	
0.1	599.2	591.493	584.319	577.615	570.189	562.961	557.249	550.638	543.344	537.123	530.903	524.712	518.595	512.516	506.663	501.378	495.322	488.971	484.493	478.726	473.601	468.354	463.481	458.427	453.273	448.323	443.716	439.318	434.416	429.634	425.334	420.781	416.464	412.125	407.968	404.09	399.579	395.836	391.728	388.177	383.868	379.539	378.033	372.711	367.649	366.595	362.018	359.688	355.858	351.901	348.598	345.123	341.955	338.881	335.835	332.635	329.603	326.533	323.667	320.682	317.867	314.875	312.014	309.265	306.402	303.872	301.203	298.516	296.016	293.395	290.785	288.466	286.029	283.523	280.836	278.707	276.807	274.431	271.842	269.444	267.379	265.22	263.164	260.871	258.663	256.953	254.341	252.181	250.725	248.247	246.533	244.615	242.897	240.807	238.83	237.233	235.347	233.373	231.843	230.065	228.502	226.422	224.702	223.194	221.334	219.766	218.152	216.582	214.787	213.561	211.945	210.168	208.945	207.115	205.542	204.705	202.616	201.231	200.019	198.678	196.96	195.792	194.24	192.968	191.666	190.33	188.907	187.808	186.588	184.973	183.844	182.62	181.349	180.313	179.068	177.551	176.855	175.297	174.477	173.245	171.992	170.833	169.796	168.555	167.362	166.641	165.805	164.435	163.119	162.231	161.069	160.444	159.283	158.143	157.57	156.155	155.267	154.292	153.338	152.293	151.355	150.571	149.493	148.743	147.725	146.825	145.771	145.066	144.215	143.221	142.418	141.635	140.814	140.16	139.196	138.412	137.432	
0.2	573.434	566.36	559.793	553.678	546.834	540.195	534.961	528.862	522.141	516.405	510.661	504.936	499.282	493.643	488.232	483.324	477.694	471.784	467.627	462.254	457.48	452.589	448.044	443.314	438.511	433.875	429.567	425.455	420.852	416.37	412.334	408.056	404.001	399.92	396.005	392.348	388.102	384.578	380.694	377.361	373.269	369.19	367.747	362.738	357.938	356.944	352.6	350.389	346.764	342.998	339.864	336.561	333.553	330.627	327.732	324.684	321.798	318.87	316.139	313.292	310.606	307.749	305.016	302.393	299.654	297.237	294.682	292.113	289.722	287.21	284.71	282.485	280.151	277.75	275.169	273.128	271.301	269.023	266.534	264.228	262.245	260.166	258.187	255.98	253.857	252.21	249.688	247.606	246.208	243.82	242.164	240.317	238.663	236.641	234.734	233.192	231.37	229.462	227.983	226.268	224.754	222.741	221.075	219.619	217.819	216.3	214.737	213.217	211.475	210.285	208.722	206.998	205.815	204.042	202.506	201.697	199.665	198.327	197.147	195.848	194.177	193.043	191.533	190.298	189.032	187.731	186.347	185.279	184.093	182.519	181.421	180.228	178.991	177.981	176.768	175.29	174.61	173.094	172.296	171.094	169.871	168.741	167.731	166.518	165.355	164.651	163.838	162.497	161.208	160.346	159.208	158.603	157.466	156.351	155.793	154.408	153.54	152.587	151.655	150.632	149.713	148.947	147.892	147.159	146.163	145.281	144.249	143.56	142.726	141.754	140.967	140.198	139.396	138.755	137.81	137.041	136.081	
0.3	533.027	526.918	521.274	516.055	510.101	504.363	499.855	494.54	488.699	483.707	478.693	473.683	468.743	463.782	459.05	454.725	449.754	444.526	440.865	436.101	431.871	427.534	423.495	419.269	415.011	410.865	407.02	403.353	399.218	395.204	391.579	387.733	384.088	380.41	376.873	373.561	369.733	366.55	363.019	360.025	356.277	352.592	351.244	346.73	342.343	341.442	337.468	335.445	332.142	328.676	325.81	322.779	320.023	317.333	314.677	311.869	309.213	306.512	303.995	301.366	298.887	296.243	293.715	291.293	288.751	286.512	284.138	281.758	279.539	277.203	274.876	272.802	270.633	268.398	265.988	264.087	262.376	260.255	257.927	255.767	253.916	251.965	250.11	248.04	246.053	244.508	242.129	240.174	238.867	236.623	235.06	233.328	231.777	229.866	228.07	226.616	224.897	223.093	221.699	220.084	218.649	216.743	215.166	213.792	212.088	210.649	209.167	207.728	206.073	204.942	203.462	201.824	200.706	199.026	197.549	196.787	194.846	193.584	192.457	191.226	189.63	188.55	187.108	185.933	184.725	183.482	182.162	181.143	180.011	178.504	177.456	176.314	175.131	174.165	173.004	171.588	170.934	169.488	168.725	167.569	166.398	165.315	164.347	163.181	162.065	161.39	160.613	159.319	158.076	157.255	156.158	155.583	154.484	153.411	152.878	151.542	150.705	149.788	148.892	147.907	147.018	146.28	145.262	144.559	143.598	142.745	141.75	141.087	140.281	139.343	138.583	137.836	137.064	136.447	135.531	134.787	133.859	
0.4	481.384	476.454	471.936	467.806	462.948	458.316	454.694	450.344	445.593	441.517	437.406	433.282	429.225	425.108	421.221	417.619	413.471	409.099	406.054	402.055	398.506	394.865	391.461	387.872	384.297	380.771	377.509	374.404	370.86	367.44	364.337	361.038	357.913	354.749	351.694	348.823	345.527	342.78	339.701	337.139	333.831	330.655	329.424	325.547	321.693	320.907	317.415	315.632	312.742	309.666	307.145	304.467	302.037	299.652	297.304	294.808	292.451	290.044	287.806	285.459	283.25	280.884	278.621	276.461	274.178	272.17	270.033	267.901	265.907	263.799	261.7	259.824	257.871	255.854	253.668	251.95	250.393	248.477	246.36	244.394	242.716	240.934	239.242	237.354	235.545	234.133	231.946	230.158	228.971	226.918	225.477	223.897	222.482	220.718	219.07	217.732	216.15	214.486	213.202	211.72	210.391	208.628	207.169	205.905	204.329	202.996	201.622	200.29	198.75	197.698	196.331	194.806	193.775	192.218	190.821	190.121	188.303	187.141	186.085	184.945	183.45	182.442	181.093	179.997	178.867	177.702	176.465	175.513	174.454	173.037	172.057	170.983	169.872	168.964	167.873	166.543	165.923	164.569	163.854	162.761	161.658	160.639	159.729	158.626	157.574	156.937	156.208	154.979	153.797	153.031	151.989	151.456	150.409	149.391	148.892	147.622	146.827	145.96	145.111	144.178	143.33	142.631	141.662	140.999	140.085	139.272	138.327	137.699	136.93	136.039	135.316	134.6	133.868	133.282	132.406	131.697	130.812	
0.5	422.562	418.896	415.579	412.603	408.929	405.487	402.809	399.502	395.936	392.852	389.722	386.564	383.47	380.279	377.313	374.503	371.264	367.837	365.469	362.316	359.523	356.654	353.952	351.076	348.261	345.427	342.816	340.337	337.46	334.709	332.192	329.509	326.97	324.386	321.878	319.508	316.814	314.561	311.997	309.926	307.121	304.529	303.427	300.281	297.039	296.377	293.447	291.938	289.521	286.897	284.774	282.504	280.45	278.418	276.427	274.292	272.282	270.218	268.303	266.287	264.39	262.349	260.397	258.542	256.561	254.825	252.965	251.121	249.392	247.553	245.723	244.079	242.379	240.62	238.698	237.195	235.82	234.145	232.279	230.542	229.068	227.488	225.989	224.316	222.72	221.465	219.507	217.919	216.872	215.048	213.753	212.354	211.1	209.511	208.039	206.841	205.423	203.927	202.775	201.452	200.248	198.658	197.34	196.207	194.785	193.58	192.336	191.134	189.732	188.776	187.542	186.156	185.228	183.82	182.521	181.896	180.226	179.185	178.215	177.183	175.812	174.891	173.653	172.653	171.619	170.547	169.414	168.542	167.57	166.263	165.366	164.375	163.352	162.515	161.51	160.282	159.705	158.464	157.806	156.791	155.771	154.829	153.99	152.963	151.99	151.399	150.729	149.58	148.472	147.775	146.8	146.316	145.334	144.384	143.925	142.737	141.994	141.187	140.398	139.528	138.729	138.078	137.171	136.556	135.699	134.937	134.053	133.467	132.744	131.911	131.234	130.555	129.873	129.325	128.499	127.831	127	
0.6	360.737	358.296	356.133	354.26	351.745	349.459	347.69	345.405	343.006	340.896	338.733	336.531	334.389	332.122	330.072	328.051	325.725	323.253	321.56	319.263	317.234	315.147	313.155	311.011	308.963	306.84	304.893	303.053	300.864	298.802	296.888	294.844	292.91	290.928	288.99	287.142	285.077	283.339	281.314	279.755	277.478	275.507	274.53	272.158	269.566	269.027	266.703	265.481	263.561	261.423	259.724	257.891	256.237	254.584	252.973	251.228	249.588	247.894	246.326	244.666	243.107	241.418	239.802	238.277	236.625	235.182	233.625	232.094	230.652	229.106	227.569	226.179	224.755	223.277	221.645	220.378	219.204	217.792	216.202	214.718	213.468	212.11	210.825	209.39	208.028	206.947	205.245	203.878	202.985	201.415	200.284	199.085	198.009	196.617	195.341	194.298	193.062	191.753	190.749	189.603	188.541	187.144	185.984	184.999	183.749	182.688	181.589	180.532	179.288	178.439	177.356	176.126	175.313	174.074	172.886	172.345	170.843	169.939	169.065	168.156	166.925	166.103	164.992	164.101	163.174	162.21	161.193	160.413	159.54	158.36	157.555	156.658	155.736	154.979	154.072	152.962	152.434	151.321	150.729	149.802	148.879	148.024	147.266	146.328	145.444	144.907	144.303	143.248	142.225	141.605	140.707	140.281	139.372	138.501	138.089	136.995	136.312	135.574	134.853	134.055	133.315	132.719	131.882	131.323	130.534	129.828	129.015	128.478	127.809	127.043	126.418	125.783	125.159	124.654	123.887	123.267	122.499	
0.7	299.721	298.364	297.214	296.297	294.825	293.569	292.596	291.232	289.89	288.657	287.37	286.039	284.763	283.347	282.131	280.836	279.359	277.778	276.708	275.213	273.898	272.545	271.216	269.77	268.441	266.995	265.677	264.442	262.913	261.512	260.176	258.748	257.396	255.996	254.611	253.274	251.818	250.582	249.084	248.022	246.267	244.914	244.051	242.442	240.496	240.068	238.359	237.42	235.989	234.341	233.066	231.671	230.418	229.145	227.915	226.564	225.297	223.977	222.761	221.463	220.246	218.916	217.642	216.452	215.137	213.994	212.747	211.536	210.389	209.144	207.91	206.782	205.641	204.454	203.123	202.1	201.134	199.994	198.692	197.472	196.454	195.329	194.267	193.081	191.964	191.061	189.632	188.497	187.763	186.462	185.503	184.514	183.625	182.441	181.372	180.493	179.451	178.341	177.492	176.532	175.621	174.431	173.44	172.61	171.544	170.637	169.693	168.791	167.715	166.98	166.06	164.997	164.306	163.249	162.183	161.73	160.409	159.651	158.881	158.104	157.024	156.308	155.336	154.561	153.75	152.903	152.013	151.331	150.566	149.523	148.819	148.025	147.212	146.543	145.741	144.761	144.285	143.312	142.791	141.96	141.142	140.383	139.714	138.872	138.086	137.607	137.075	136.123	135.196	134.66	133.846	133.482	132.654	131.871	131.508	130.519	129.902	129.241	128.594	127.876	127.2	126.664	125.906	125.408	124.693	124.051	123.315	122.833	122.223	121.53	120.964	120.378	119.817	119.361	118.658	118.092	117.393	
0.8	242.597	242.123	241.784	241.618	241.011	240.593	240.26	239.657	239.195	238.69	238.133	237.536	236.986	236.298	235.784	235.107	234.363	233.554	233.018	232.219	231.527	230.814	230.063	229.239	228.536	227.693	226.929	226.228	225.296	224.487	223.67	222.798	221.969	221.097	220.218	219.349	218.448	217.669	216.66	216.049	214.779	214.005	213.239	212.342	211	210.666	209.548	208.869	207.892	206.713	205.838	204.859	203.985	203.073	202.205	201.23	200.32	199.359	198.481	197.531	196.642	195.66	194.718	193.851	192.864	192.012	191.067	190.167	189.307	188.357	187.421	186.548	185.686	184.784	183.75	182.966	182.209	181.333	180.32	179.362	178.572	177.681	176.842	175.905	175.03	174.306	173.153	172.252	171.675	170.644	169.858	169.079	168.377	167.406	166.544	165.832	164.985	164.077	163.385	162.614	161.856	160.879	160.059	159.387	158.509	157.76	156.975	156.23	155.328	154.71	153.955	153.065	152.497	151.629	150.69	150.328	149.196	148.587	147.923	147.281	146.36	145.753	144.926	144.271	143.581	142.854	142.096	141.517	140.863	139.964	139.366	138.678	137.98	137.402	136.712	135.866	135.446	134.618	134.171	133.443	132.736	132.077	131.501	130.761	130.078	129.66	129.202	128.362	127.536	127.087	126.363	126.062	125.322	124.631	124.319	123.443	122.895	122.316	121.748	121.115	120.508	120.036	119.361	118.928	118.292	117.718	117.065	116.64	116.093	115.479	114.975	114.442	113.948	113.543	112.91	112.402	111.778	
0.9	191.528	191.708	191.955	192.315	192.365	192.567	192.697	192.675	192.879	192.927	192.928	192.899	192.907	192.794	192.82	192.633	192.476	192.287	192.17	191.935	191.746	191.552	191.269	190.964	190.764	190.426	190.118	189.855	189.428	189.114	188.733	188.334	187.945	187.524	187.079	186.615	186.188	185.804	185.219	184.994	184.149	183.89	183.201	182.926	182.12	181.859	181.28	180.829	180.248	179.496	178.979	178.375	177.84	177.256	176.711	176.081	175.493	174.862	174.29	173.661	173.072	172.411	171.775	171.204	170.524	169.94	169.276	168.664	168.071	167.396	166.74	166.108	165.506	164.872	164.118	163.56	163.001	162.374	161.634	160.928	160.353	159.685	159.06	158.362	157.719	157.163	156.281	155.606	155.175	154.405	153.79	153.212	152.689	151.925	151.265	150.714	150.058	149.348	148.808	148.221	147.613	146.845	146.193	145.676	144.982	144.389	143.76	143.17	142.441	141.94	141.348	140.629	140.182	139.5	138.691	138.418	137.475	137.014	136.455	135.948	135.185	134.688	134.006	133.472	132.902	132.297	131.672	131.196	130.653	129.901	129.408	128.829	128.247	127.761	127.183	126.474	126.11	125.43	125.057	124.433	123.839	123.282	122.801	122.165	121.587	121.231	120.848	120.123	119.402	119.042	118.41	118.172	117.522	116.927	116.666	115.906	115.43	114.935	114.449	113.903	113.367	112.96	112.372	112.005	111.452	110.948	110.38	110.015	109.534	109.001	108.562	108.084	107.659	107.307	106.747	106.299	105.752	
1	147.727	148.337	148.953	149.625	150.127	150.732	151.155	151.533	152.186	152.609	152.995	153.365	153.758	154.06	154.459	154.627	154.9	155.167	155.354	155.538	155.723	155.914	155.981	156.081	156.25	156.305	156.343	156.413	156.387	156.458	156.418	156.392	156.35	156.288	156.193	156.06	156.012	155.944	155.708	155.79	155.3	155.471	154.844	155.077	154.717	154.511	154.397	154.135	153.879	153.498	153.283	153	152.753	152.451	152.182	151.85	151.54	151.195	150.89	150.541	150.214	149.835	149.468	149.157	148.748	148.401	147.989	147.63	147.276	146.846	146.443	146.026	145.657	145.263	144.765	144.409	144.031	143.627	143.139	142.663	142.281	141.821	141.392	140.914	140.483	140.081	139.455	138.99	138.691	138.164	137.708	137.316	136.957	136.389	135.918	135.518	135.041	134.518	134.121	133.704	133.24	132.671	132.178	131.806	131.287	130.844	130.362	129.92	129.359	128.967	128.531	127.977	127.643	127.141	126.462	126.272	125.513	125.193	124.734	124.356	123.749	123.357	122.818	122.399	121.946	121.461	120.966	120.589	120.154	119.548	119.156	118.684	118.215	117.82	117.352	116.779	116.47	115.935	115.634	115.113	114.632	114.175	113.787	113.255	112.782	112.486	112.176	111.568	110.953	110.68	110.139	109.962	109.403	108.905	108.693	108.051	107.647	107.236	106.831	106.373	105.909	105.567	105.067	104.766	104.295	103.863	103.38	103.075	102.661	102.209	101.836	101.414	101.058	100.76	100.274	99.8863	99.4193	
1.1	111.555	112.4	113.201	114.008	114.775	115.593	116.167	116.784	117.685	118.326	118.939	119.552	120.173	120.741	121.358	121.757	122.312	122.878	123.257	123.722	124.157	124.604	124.908	125.296	125.705	126.042	126.319	126.618	126.886	127.228	127.436	127.682	127.891	128.094	128.262	128.379	128.611	128.779	128.812	129.12	128.905	129.412	128.837	129.454	129.441	129.276	129.538	129.423	129.419	129.342	129.368	129.344	129.328	129.256	129.207	129.123	129.038	128.93	128.845	128.729	128.618	128.477	128.335	128.239	128.062	127.915	127.716	127.571	127.418	127.199	127.013	126.782	126.612	126.423	126.148	125.966	125.748	125.534	125.268	124.995	124.781	124.505	124.25	123.966	123.722	123.455	123.062	122.784	122.6	122.29	121.979	121.75	121.537	121.149	120.846	120.584	120.269	119.917	119.648	119.384	119.052	118.668	118.32	118.079	117.722	117.417	117.071	116.764	116.359	116.07	115.777	115.377	115.145	114.81	114.257	114.143	113.558	113.367	113.003	112.743	112.284	111.99	111.587	111.276	110.934	110.563	110.19	109.907	109.574	109.107	108.813	108.441	108.082	107.773	107.41	106.966	106.711	106.313	106.081	105.661	105.288	104.926	104.628	104.198	103.824	103.587	103.346	102.854	102.343	102.151	101.7	101.58	101.11	100.708	100.542	100.016	99.6823	99.3531	99.0278	98.6546	98.2625	97.983	97.5699	97.3324	96.944	96.582	96.1833	95.9359	95.5883	95.216	94.9078	94.5432	94.2543	94.0079	93.5965	93.2691	92.8808	
1.2	82.7171	83.6428	84.4861	85.295	86.1766	87.0565	87.6703	88.4003	89.3841	90.1145	90.8244	91.5514	92.2709	92.9759	93.6832	94.2089	94.917	95.6435	96.1233	96.7456	97.3205	97.9087	98.3532	98.922	99.4573	99.9764	100.395	100.83	101.293	101.802	102.17	102.594	102.964	103.345	103.691	103.984	104.4	104.728	104.954	105.408	105.395	106.141	105.613	106.488	106.724	106.591	107.134	107.128	107.301	107.461	107.666	107.838	107.992	108.098	108.215	108.322	108.411	108.488	108.572	108.64	108.698	108.746	108.783	108.856	108.864	108.878	108.852	108.877	108.886	108.839	108.831	108.753	108.745	108.724	108.634	108.596	108.513	108.454	108.374	108.273	108.197	108.079	107.972	107.854	107.766	107.613	107.425	107.309	107.219	107.095	106.913	106.822	106.732	106.503	106.346	106.203	106.03	105.828	105.672	105.541	105.326	105.106	104.887	104.761	104.547	104.365	104.14	103.954	103.691	103.494	103.327	103.067	102.924	102.739	102.305	102.257	101.834	101.756	101.478	101.324	101.002	100.797	100.52	100.306	100.065	99.8004	99.5403	99.3427	99.1036	98.7672	98.561	98.2844	98.0252	97.7963	97.5311	97.2089	97.004	96.7332	96.5645	96.2383	95.9686	95.695	95.4815	95.147	94.8677	94.6842	94.5066	94.1272	93.7166	93.6002	93.2341	93.1652	92.7819	92.4709	92.3464	91.9331	91.6658	91.4153	91.1653	90.8736	90.5507	90.3306	90.0013	89.824	89.5149	89.2208	88.9022	88.71	88.4269	88.131	87.8856	87.5771	87.3521	87.155	86.8166	86.5476	86.2358	
