wavelength(nm), basis_r, basis_g, basis_b
7.100000000000000000e+02,8.475369543253342686e-01,1.498799844792697440e-09,1.524630477402513506e-01
7.150000000000000000e+02,8.925238335963093794e-01,4.035709403411126550e-02,6.711907251782821271e-02
7.200000000000000000e+02,1.697261534157396556e-01,7.758701566131916637e-05,8.301962636244074600e-01
7.250000000000000000e+02,8.112549861091189474e-01,7.191747405036612306e-02,1.168275404556531477e-01
7.300000000000000000e+02,3.549773027273203652e-01,3.956929741472527406e-01,2.493297266905502296e-01
7.350000000000000000e+02,4.929686521230649543e-01,4.933340827446742183e-01,1.369727052234679353e-02
7.400000000000000000e+02,4.113976990177338200e-01,1.241804881286741186e-01,4.644218145445250800e-01
7.450000000000000000e+02,1.128169629611302655e-01,3.247667261140294581e-01,5.624163079618372807e-01
7.500000000000000000e+02,4.555228696996244109e-01,3.408264074894953310e-01,2.036507292341470654e-01
7.550000000000000000e+02,2.890244291914434438e-01,2.738758347569892893e-01,4.370997324886205515e-01
7.600000000000000000e+02,6.885661619959294599e-01,1.785367199113524483e-01,1.328971206853730158e-01
7.650000000000000000e+02,2.900577960566558255e-01,3.506163535941350107e-01,3.593258501992265819e-01
7.700000000000000000e+02,9.893301537059108475e-02,3.277518104210118133e-01,5.733151859044646192e-01
7.750000000000000000e+02,1.044819974985338046e-01,5.532075809475871520e-01,3.423104255995356726e-01
7.800000000000000000e+02,4.698636987910061458e-01,1.811550624820262856e-01,3.489812381200874114e-01
7.850000000000000000e+02,5.012215372776753775e-01,2.339779516990782848e-01,2.647999172702820148e-01
7.900000000000000000e+02,3.247724222591575893e-01,3.624165507967709310e-01,3.128110242661195639e-01
7.950000000000000000e+02,1.135973697644312580e-01,2.409554672975494360e-01,6.454471671203320104e-01
8.000000000000000000e+02,5.713306012872416684e-01,1.072581638298051032e-01,3.214112158051151136e-01
8.050000000000000000e+02,3.336392371152551717e-01,2.458554025750986638e-01,4.205053604793608790e-01
8.100000000000000000e+02,3.932164444044338736e-01,3.909520971458985833e-02,5.676883501492900885e-01
8.150000000000000000e+02,1.627127984345218270e-01,3.078167455134223629e-01,5.294704561993037739e-01
8.200000000000000000e+02,4.728704650613280158e-01,4.093431517048678331e-02,4.861952190054022460e-01
8.250000000000000000e+02,3.973825560317367223e-01,1.228619905680764374e-01,4.797554637511727837e-01
8.300000000000000000e+02,4.973532761218293907e-01,7.562531585402381865e-06,5.026391606697471204e-01
