380,0.361396471,0.252275706,0.38632775
381,0.366205305,0.235416148,0.398378488
382,0.371266544,0.215513629,0.413219781
383,0.375826683,0.193361838,0.430811443
384,0.378931282,0.170213951,0.45085474
385,0.379486367,0.146935009,0.473578603
386,0.376593731,0.124520896,0.498885357
387,0.369558349,0.104513543,0.525928094
388,0.358873584,0.087376859,0.553749546
389,0.345130567,0.072963535,0.58190589
390,0.328251563,0.061039837,0.610708593
391,0.308552505,0.051319092,0.640128397
392,0.287174625,0.043394991,0.66943038
393,0.265201642,0.03688261,0.697915745
394,0.243045727,0.031474819,0.725479451
395,0.220937879,0.026936811,0.752125308
396,0.199346669,0.023102089,0.77755124
397,0.178921019,0.019880414,0.801198565
398,0.160082582,0.017195163,0.822722255
399,0.143043625,0.014972592,0.841983783
400,0.12764715,0.013145438,0.859207411
401,0.114788574,0.011648728,0.873562697
402,0.10331626,0.010408693,0.886275046
403,0.093251867,0.009364809,0.897383324
404,0.084366433,0.008471453,0.907162114
405,0.076457702,0.0076938,0.915848498
406,0.0693845,0.007008643,0.923606857
407,0.063110474,0.006410542,0.930478984
408,0.057604611,0.005896532,0.936498858
409,0.05282655,0.005462749,0.941710701
410,0.048727746,0.005105165,0.94616709
411,0.045246457,0.00481771,0.949935833
412,0.042272582,0.004586083,0.953141335
413,0.039703262,0.004396686,0.955900051
414,0.037455139,0.004238401,0.95830646
415,0.035460037,0.004101847,0.960438116
416,0.033656447,0.003979158,0.962364395
417,0.031971471,0.003864355,0.964164174
418,0.030336688,0.003752062,0.96591125
419,0.02869331,0.003637288,0.967669402
420,0.026994721,0.003515776,0.969489503
421,0.025228222,0.003385805,0.971385973
422,0.023458008,0.003251719,0.973290273
423,0.021752723,0.003118531,0.975128746
424,0.020163193,0.002990058,0.976846749
425,0.018723458,0.002868848,0.978407695
426,0.017448899,0.00275664,0.979794461
427,0.01632809,0.002655656,0.981016253
428,0.015345247,0.002568131,0.982086622
429,0.014486178,0.002496149,0.983017673
430,0.013738196,0.002441784,0.98382002
431,0.013086747,0.00240592,0.984507332
432,0.012506601,0.002384453,0.985108946
433,0.011974039,0.002372418,0.985653543
434,0.011469545,0.002365125,0.98616533
435,0.010977108,0.002358004,0.986664888
436,0.01048924,0.002348313,0.987162447
437,0.010020395,0.002340373,0.987639232
438,0.009586803,0.002340171,0.988073026
439,0.009200426,0.00235367,0.988445904
440,0.008879731,0.002387865,0.988732404
441,0.008605208,0.002446437,0.988948355
